2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status half-configured apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:34 status triggers-awaited apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:34 configure ssl-cert:all 1.0.33 <none>
2017-01-08 15:01:34 status unpacked ssl-cert:all 1.0.33
2017-01-08 15:01:34 status half-configured ssl-cert:all 1.0.33
2017-01-08 15:01:35 status installed ssl-cert:all 1.0.33
2017-01-08 15:01:35 trigproc libc-bin:amd64 2.19-0ubuntu6.9 <none>
2017-01-08 15:01:35 status half-configured libc-bin:amd64 2.19-0ubuntu6.9
2017-01-08 15:01:35 status installed libc-bin:amd64 2.19-0ubuntu6.9
2017-01-08 15:01:35 trigproc ureadahead:amd64 0.100.0-16 <none>
2017-01-08 15:01:35 status half-configured ureadahead:amd64 0.100.0-16
2017-01-08 15:01:35 status installed ureadahead:amd64 0.100.0-16
2017-01-08 15:01:35 trigproc ufw:all 0.34~rc-0ubuntu2 <none>
2017-01-08 15:01:35 status half-configured ufw:all 0.34~rc-0ubuntu2
2017-01-08 15:01:35 status installed apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:35 status installed ufw:all 0.34~rc-0ubuntu2
2017-01-08 15:01:40 startup archives unpack
2017-01-08 15:01:40 install php5-json:amd64 <none> 1.3.2-2build1
2017-01-08 15:01:40 status half-installed php5-json:amd64 1.3.2-2build1
2017-01-08 15:01:40 status unpacked php5-json:amd64 1.3.2-2build1
2017-01-08 15:01:40 status unpacked php5-json:amd64 1.3.2-2build1
2017-01-08 15:01:40 install php5-common:amd64 <none> 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:40 status half-installed php5-common:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:40 status unpacked php5-common:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:40 status unpacked php5-common:amd64 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:40 install php5-cli:amd64 <none> 5.5.9+dfsg-1ubuntu4.20
2017-01-08 15:01:40 status half-installed php5-cli:amd64 5.5.9+dfsg-1ubuntu4.20
